Gridcode,Species,Predicted
100001,Abutilon_theophrasti,0.311459047
100001,Lobelia_flaccidifolia,0.001273475
100001,Helianthus_debilis,0.429280856
100001,Solanum_dulcamara,0.07994351
100001,Silene_noctiflora,0.011846889
100001,Ipomoea_hederifolia,0.438026533
100001,Orobanche_uniflora,0.038341186
100001,Anagallis_arvensis,0.34637264
100001,Hibiscus_trionum,0.1582656
100001,Solanum_americanum,0.87366713
100001,Solanum_nigrum,0.021340232
100001,Impatiens_capensis,0.022194583
100001,Ipomoea_lacunosa,0.079143758
100001,Bidens_vulgata,0.015059404
100001,Eustoma_exaltatum,0.635378081
100001,Viola_bicolor,0.024338321
100001,Oxalis_corniculata,0.942231458
100001,Ipomoea_quamoclit,0.61353816
100001,Chamaecrista_fasciculata,0.972089239
100001,Helianthus_annuus,0.563022596
100001,Physalis_angulata,0.547650505
100001,Senna_occidentalis,0.446642872
100001,Malva_neglecta,0.143918359
100001,Phlox_drummondii,0.199800863
100001,Agrostemma_githago,0.006918344
100001,Solanum_rostratum,0.05698538
100001,Coreopsis_basalis,0.03648202
100001,Sabatia_stellaris,0.829295884
100001,Sisyrinchium_rosulatum,0.275869541
100001,Chamaecrista_nictitans,0.846624726
100001,Datura_stramonium,0.236229406
100001,Utricularia_juncea,0.075144525
100001,Houstonia_pusilla,0.000608934
100001,Solanum_carolinense,0.327890059
100001,Ipomoea_purpurea,0.213440438
100001,Helenium_amarum,0.383264213
100001,Utricularia_cornuta,0.544843131
100001,Catharanthus_roseus,0.883517167
100001,Physalis_pubescens,0.314784229
100001,Solanum_lycopersicum,0.535055605
100001,Viola_tricolor,0.023883094
100001,Ipomoea_coccinea,0.006025373
100001,Sabatia_angularis,0.007210825
100001,Sabatia_grandiflora,0.532518786
100001,Rudbeckia_hirta,0.893645163
100001,Pinguicula_pumila,0.597210635
100001,Impatiens_pallida,0.072385636
100001,Coreopsis_tinctoria,0.179290366
100001,Sabatia_brevifolia,0.319649856
100001,Sabatia_bartramii,0.318819403
100001,Ipomoea_hederacea,0.231799774
100001,Oxalis_grandis,0.004018804
100001,Ipomoea_alba,0.881648522
100001,Asemeia_violacea,0.18273333
100001,Ipomoea_indica,0.631996213
100001,Solanum_ptycanthum,0.040004326
100001,Hibiscus_moscheutos,0.171279184
100002,Solanum_nigrum,0.017587979
100002,Helianthus_debilis,0.271593023
100002,Ipomoea_hederifolia,0.459752529
100002,Chamaecrista_fasciculata,0.97193189
100002,Helianthus_annuus,0.611759169
100002,Utricularia_cornuta,0.398313211
100002,Malva_neglecta,0.172750554
100002,Phlox_drummondii,0.153888056
100002,Rudbeckia_hirta,0.906038839
100002,Bidens_vulgata,0.014751118
100002,Solanum_lycopersicum,0.586491499
100002,Abutilon_theophrasti,0.41273075
100002,Chamaecrista_nictitans,0.842276175
100002,Ipomoea_alba,0.847010506
100002,Asemeia_violacea,0.195635721
100002,Utricularia_juncea,0.034805068
100002,Houstonia_pusilla,0.000926817
100002,Anagallis_arvensis,0.392226884
100002,Solanum_americanum,0.855753053
100002,Helenium_amarum,0.481258718
100002,Pinguicula_pumila,0.367260518
100002,Catharanthus_roseus,0.869518087
100002,Coreopsis_basalis,0.021155117
100002,Sabatia_bartramii,0.151660675
100002,Ipomoea_lacunosa,0.119617697
100002,Ipomoea_coccinea,0.011054876
100002,Lobelia_flaccidifolia,0.000976642
100002,Sisyrinchium_rosulatum,0.314572134
100002,Solanum_dulcamara,0.103243411
100002,Silene_noctiflora,0.010559261
100002,Physalis_angulata,0.634492946
100002,Coreopsis_tinctoria,0.210572379
100002,Hibiscus_trionum,0.216154453
100002,Impatiens_pallida,0.122996306
100002,Sabatia_brevifolia,0.16111594
100002,Oxalis_grandis,0.006854907
100002,Hibiscus_moscheutos,0.174824434
100002,Viola_tricolor,0.019506382
100002,Ipomoea_quamoclit,0.689504846
100002,Viola_bicolor,0.0435386
100002,Eustoma_exaltatum,0.442430233
100002,Oxalis_corniculata,0.949807979
100002,Solanum_ptycanthum,0.038824294
100002,Datura_stramonium,0.306350071
100002,Solanum_rostratum,0.059993735
100002,Senna_occidentalis,0.407239094
100002,Ipomoea_hederacea,0.278144817
100002,Solanum_carolinense,0.45909585
100002,Sabatia_angularis,0.01637339
100002,Physalis_pubescens,0.317983244
100002,Ipomoea_purpurea,0.273066172
100002,Orobanche_uniflora,0.037572249
100002,Sabatia_grandiflora,0.242751894
100002,Sabatia_stellaris,0.682695019
100002,Impatiens_capensis,0.048867097
100002,Agrostemma_githago,0.008077094
100002,Ipomoea_indica,0.512626863
100003,Helianthus_annuus,0.391601351
100003,Ipomoea_lacunosa,0.052291677
100003,Chamaecrista_fasciculata,0.946167452
100003,Utricularia_juncea,0.099613751
100003,Chamaecrista_nictitans,0.739088545
100003,Lobelia_flaccidifolia,0.00255754
100003,Utricularia_cornuta,0.505593132
100003,Malva_neglecta,0.033279677
100003,Oxalis_corniculata,0.894859189
100003,Viola_bicolor,0.015739177
100003,Coreopsis_basalis,0.064397051
100003,Viola_tricolor,0.013147545
100003,Phlox_drummondii,0.219171227
100003,Silene_noctiflora,0.003874845
100003,Bidens_vulgata,0.006006469
100003,Solanum_americanum,0.82670745
100003,Rudbeckia_hirta,0.802249528
100003,Pinguicula_pumila,0.741976902
100003,Eustoma_exaltatum,0.436770578
100003,Hibiscus_moscheutos,0.078200614
100003,Helenium_amarum,0.433025987
100003,Oxalis_grandis,0.001072243
100003,Ipomoea_coccinea,0.004568716
100003,Sabatia_angularis,0.007293002
100003,Sabatia_bartramii,0.446571661
100003,Ipomoea_alba,0.791530706
100003,Ipomoea_quamoclit,0.700822606
100003,Solanum_dulcamara,0.006358186
100003,Hibiscus_trionum,0.037772985
100003,Anagallis_arvensis,0.152152952
100003,Impatiens_pallida,0.016844561
100003,Solanum_rostratum,0.025342294
100003,Impatiens_capensis,0.00493588
100003,Ipomoea_hederacea,0.131528847
100003,Catharanthus_roseus,0.804543381
100003,Abutilon_theophrasti,0.0750695
100003,Sabatia_stellaris,0.731242356
100003,Physalis_angulata,0.524908748
100003,Asemeia_violacea,0.224077321
100003,Datura_stramonium,0.080675982
100003,Sisyrinchium_rosulatum,0.330755509
100003,Solanum_nigrum,0.004594086
100003,Senna_occidentalis,0.449628166
100003,Coreopsis_tinctoria,0.075895545
100003,Sabatia_brevifolia,0.538788366
100003,Solanum_lycopersicum,0.301954653
100003,Physalis_pubescens,0.253918462
100003,Orobanche_uniflora,0.015999647
100003,Helianthus_debilis,0.346503825
100003,Solanum_ptycanthum,0.017746643
100003,Ipomoea_hederifolia,0.489992079
100003,Agrostemma_githago,0.00255207
100003,Ipomoea_purpurea,0.127249683
100003,Sabatia_grandiflora,0.605754629
100003,Houstonia_pusilla,0.000715734
100003,Solanum_carolinense,0.184805997
100003,Ipomoea_indica,0.633436106
100004,Solanum_rostratum,0.045100023
100004,Coreopsis_basalis,0.030264242
100004,Lobelia_flaccidifolia,0.001465376
100004,Viola_bicolor,0.036994275
100004,Physalis_pubescens,0.286370554
100004,Chamaecrista_fasciculata,0.964408438
100004,Bidens_vulgata,0.010751181
100004,Sabatia_angularis,0.017299446
100004,Sabatia_bartramii,0.200979238
100004,Ipomoea_coccinea,0.010413485
100004,Ipomoea_quamoclit,0.731276421
100004,Oxalis_corniculata,0.935719729
100004,Anagallis_arvensis,0.29023937
100004,Chamaecrista_nictitans,0.806533636
100004,Orobanche_uniflora,0.026752984
100004,Solanum_americanum,0.84153096
100004,Impatiens_capensis,0.027250793
100004,Utricularia_juncea,0.046085824
100004,Ipomoea_lacunosa,0.105398679
100004,Hibiscus_moscheutos,0.140173795
100004,Sabatia_stellaris,0.656930253
100004,Ipomoea_hederacea,0.230730123
100004,Rudbeckia_hirta,0.877339616
100004,Datura_stramonium,0.20592867
100004,Solanum_dulcamara,0.03664536
100004,Physalis_angulata,0.618133807
100004,Impatiens_pallida,0.069334189
100004,Ipomoea_purpurea,0.23046704
100004,Sabatia_brevifolia,0.238053255
100004,Agrostemma_githago,0.005547348
100004,Catharanthus_roseus,0.837475909
100004,Malva_neglecta,0.097440009
100004,Abutilon_theophrasti,0.251586404
